"filename", "language", "Properties", "HTML", "XML", "JavaScript", "JSON", "YAML", "Markdown", "CSS", "Docker", "comment", "blank", "total"
"/home/mahadeva/code/FreeNetworkMonitor/.env", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/mahadeva/code/FreeNetworkMonitor/000-default-local.conf", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/mahadeva/code/FreeNetworkMonitor/000-default.conf", "Properties", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/mahadeva/code/FreeNetworkMonitor/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"/home/mahadeva/code/FreeNetworkMonitor/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8, 16
"/home/mahadeva/code/FreeNetworkMonitor/apache2.conf", "Properties", 40, 0, 0, 0, 0, 0, 0, 0, 0, 153, 37, 230
"/home/mahadeva/code/FreeNetworkMonitor/default-ssl-local.conf", "Properties", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 43
"/home/mahadeva/code/FreeNetworkMonitor/default-ssl.conf", "Properties", 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 41
"/home/mahadeva/code/FreeNetworkMonitor/docker-compose-local.yml", "YAML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/mahadeva/code/FreeNetworkMonitor/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/mahadeva/code/FreeNetworkMonitor/package.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 0, 25, 0, 70
"/home/mahadeva/code/FreeNetworkMonitor/public/cookiepolicy.html", "HTML", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 7, 80
"/home/mahadeva/code/FreeNetworkMonitor/public/img/logo.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/mahadeva/code/FreeNetworkMonitor/public/img/ping.svg", "XML", 0, 0, 4374, 0, 0, 0, 0, 0, 0, 0, 1, 4375
"/home/mahadeva/code/FreeNetworkMonitor/public/index.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 0, 10, 6, 37
"/home/mahadeva/code/FreeNetworkMonitor/public/logo.svg", "XML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/mahadeva/code/FreeNetworkMonitor/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/home/mahadeva/code/FreeNetworkMonitor/public/ping.svg", "XML", 0, 0, 4374, 0, 0, 0, 0, 0, 0, 0, 1, 4375
"/home/mahadeva/code/FreeNetworkMonitor/public/privacypolicy.html", "HTML", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"/home/mahadeva/code/FreeNetworkMonitor/public/runConfig-dev-test.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/home/mahadeva/code/FreeNetworkMonitor/public/runConfig-dev.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/home/mahadeva/code/FreeNetworkMonitor/public/runConfig-run.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/home/mahadeva/code/FreeNetworkMonitor/public/runConfig.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"/home/mahadeva/code/FreeNetworkMonitor/public/sitemap.xml", "XML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 2, 22
"/home/mahadeva/code/FreeNetworkMonitor/response-google.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/home/mahadeva/code/FreeNetworkMonitor/security.conf", "Properties", 3, 0, 0, 0, 0, 0, 0, 0, 0, 60, 12, 75
"/home/mahadeva/code/FreeNetworkMonitor/src/app.js", "JavaScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 3, 5, 78
"/home/mahadeva/code/FreeNetworkMonitor/src/appsettings-dev-test.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/home/mahadeva/code/FreeNetworkMonitor/src/appsettings-dev.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"/home/mahadeva/code/FreeNetworkMonitor/src/appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/home/mahadeva/code/FreeNetworkMonitor/src/auth/auth0-provider-with-history.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"/home/mahadeva/code/FreeNetworkMonitor/src/components/auth-nav.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"/home/mahadeva/code/FreeNetworkMonitor/src/components/authentication-button.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Chart.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 6, 18, 116
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/ChartResize.js", "JavaScript", 0, 0, 0, 132, 0, 0, 0, 0, 0, 3, 17, 152
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Dashboard.js", "JavaScript", 0, 0, 0, 290, 0, 0, 0, 0, 0, 10, 7, 307
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/DataSetsList.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 12, 2, 79
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HelpDialog.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 13, 122
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostDetail.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 8, 47
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostList.js", "JavaScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 12, 72
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostListEdit.js", "JavaScript", 0, 0, 0, 323, 0, 0, 0, 0, 0, 5, 6, 334
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostListPag.js", "JavaScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 1, 23, 194
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/MainListItems.js", "JavaScript", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 6, 63
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Message.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 38
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/MiniProfile.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Profile.js", "JavaScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 26, 195
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/ProfileDialog.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 21, 82
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/ServiceAPI.js", "JavaScript", 0, 0, 0, 655, 0, 0, 0, 0, 0, 4, 93, 752
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Title.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/styleObject.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 3, 111
"/home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/useClasses.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/home/mahadeva/code/FreeNetworkMonitor/src/components/login-button.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"/home/mahadeva/code/FreeNetworkMonitor/src/components/logout-button.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 7, 26
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Blog.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 7, 12, 183
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/BlogList.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 6, 54
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/BlogTitles.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/BuyMeACoffee.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 33
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Copyright.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Faq.js", "JavaScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 1, 20, 217
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/FeaturedPost.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 64
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Footer.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 11, 58
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Guide1Button.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Header.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 5, 67
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/LogoLink.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 7, 30
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/MainFeaturedPost.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 11, 86
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Markdown.js", "JavaScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 5, 54
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/MegaLink.js", "JavaScript", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Pricing.js", "JavaScript", 0, 0, 0, 96, 0, 0, 0, 0, 0, 1, 14, 111
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/PricingContent.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 1, 18, 183
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/ProductDetail.js", "JavaScript", 0, 0, 0, 213, 0, 0, 0, 0, 0, 2, 35, 250
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/Sidebar.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 1, 11, 63
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/StripeCheckout.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 13, 48
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post1.md", "Markdown", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 11, 24
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post2.md", "Markdown", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"/home/mahadeva/code/FreeNetworkMonitor/src/components/main/posts/blog-post3.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, 16
"/home/mahadeva/code/FreeNetworkMonitor/src/compress-cra.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/home/mahadeva/code/FreeNetworkMonitor/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/mahadeva/code/FreeNetworkMonitor/src/index.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/home/mahadeva/code/FreeNetworkMonitor/src/loading-circle.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/home/mahadeva/code/FreeNetworkMonitor/src/loading.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"/home/mahadeva/code/FreeNetworkMonitor/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 122, 236, 8815, 4084, 113, 14, 37, 0, 14, 314, 648, 14397